م | رقم صفحة المصدر | رقم الصفحة في الكتاب | القسم/الوحدة | عنوان الدرس/الموضوع | اسم الصورة الأصلي | اسم الصورة الجديد
57 | 57 | 56 | الوحدة الخامسة: الحركات الوطنية والثورات التحررية في الوطن العربي | الحركات الوطنية والتحرر من الاستعمار البريطاني | PDF page 57 | ص056 - الحركات الوطنية والتحرر من الاستعمار البريطاني.jpg
58 | 58 | 57 | الوحدة الخامسة: الحركات الوطنية والثورات التحررية في الوطن العربي | الحركات الوطنية والتحرر من الاستعمار الفرنسي | PDF page 58 | ص057 - الحركات الوطنية والتحرر من الاستعمار الفرنسي.jpg
59 | 59 | 58 | الوحدة الخامسة: الحركات الوطنية والثورات التحررية في الوطن العربي | الحركات الوطنية والتحرر من الاستعمار الفرنسي | PDF page 59 | ص058 - الحركات الوطنية والتحرر من الاستعمار الفرنسي.jpg
60 | 60 | 59 | الوحدة الخامسة: الحركات الوطنية والثورات التحررية في الوطن العربي | الحركات الوطنية والتحرر من الاستعمار الفرنسي | PDF page 60 | ص059 - الحركات الوطنية والتحرر من الاستعمار الفرنسي.jpg
61 | 61 | 60 | الوحدة الخامسة: الحركات الوطنية والثورات التحررية في الوطن العربي | الحركات الوطنية والتحرر من الاستعمار الفرنسي | PDF page 61 | ص060 - الحركات الوطنية والتحرر من الاستعمار الفرنسي.jpg
62 | 62 | 61 | الوحدة الخامسة: الحركات الوطنية والثورات التحررية في الوطن العربي | الحركات الوطنية والتحرر من الاستعمار الفرنسي | PDF page 62 | ص061 - الحركات الوطنية والتحرر من الاستعمار الفرنسي.jpg
63 | 63 | 62 | الوحدة الخامسة: الحركات الوطنية والثورات التحررية في الوطن العربي | الحركات الوطنية والتحرر من الاستعمار الفرنسي | PDF page 63 | ص062 - الحركات الوطنية والتحرر من الاستعمار الفرنسي.jpg
64 | 64 | 63 | الوحدة الخامسة: الحركات الوطنية والثورات التحررية في الوطن العربي | الحركات الوطنية والتحرر من الاستعمار الفرنسي | PDF page 64 | ص063 - الحركات الوطنية والتحرر من الاستعمار الفرنسي.jpg
65 | 65 | 64 | الوحدة الخامسة: الحركات الوطنية والثورات التحررية في الوطن العربي | الحركات الوطنية والتحرر من الاستعمار الفرنسي | PDF page 65 | ص064 - الحركات الوطنية والتحرر من الاستعمار الفرنسي.jpg
66 | 66 | 65 | الوحدة الخامسة: الحركات الوطنية والثورات التحررية في الوطن العربي | الحركات الوطنية والتحرر من الاستعمار الفرنسي | PDF page 66 | ص065 - الحركات الوطنية والتحرر من الاستعمار الفرنسي.jpg
67 | 67 | 66 | الوحدة الخامسة: الحركات الوطنية والثورات التحررية في الوطن العربي | الحركات الوطنية والتحرر من الاستعمار الفرنسي | PDF page 67 | ص066 - الحركات الوطنية والتحرر من الاستعمار الفرنسي.jpg
